invoice_date,total_amount,due_date,status_invoice,order_id,product_id
2024-04-07,776,2023-12-07,expirado,1,226
2023-04-11,872,2022-07-06,expirado,2,290
2022-10-27,607,2023-10-05,expirado,3,107
2022-12-06,692,2023-07-21,expirado,4,480
2024-06-23,104,2023-12-03,pagado,5,444
2022-02-11,102,2024-07-09,expirado,6,489
2023-05-22,924,2024-02-26,pagado,7,983
2022-07-06,624,2022-05-18,pagado,8,852
2022-03-08,563,2023-09-19,pagado,9,521
2023-03-18,908,2023-09-29,expirado,10,453
2023-04-08,367,2023-06-11,pendiente,11,627
2024-05-31,994,2024-06-22,pagado,12,901
2024-01-20,721,2022-12-24,pendiente,13,687
2024-03-17,913,2024-01-09,pagado,14,92
2023-12-25,159,2024-02-17,pagado,15,873
2024-05-23,222,2022-08-21,expirado,16,63
2023-01-12,844,2023-07-10,pendiente,17,365
2023-09-14,372,2024-01-29,pendiente,18,182
2022-01-27,303,2022-09-13,pendiente,19,70
2023-03-24,526,2022-04-16,pendiente,20,719
2024-06-17,675,2022-09-16,pagado,21,544
2022-02-19,385,2023-04-23,pagado,22,618
2024-05-04,120,2023-12-23,pagado,23,629
2023-04-01,693,2022-09-16,pagado,24,131
2022-11-25,188,2022-03-20,expirado,25,795
2023-09-11,320,2024-07-02,expirado,26,735
2023-02-13,138,2023-05-30,pendiente,27,235
2023-08-26,97,2022-04-12,expirado,28,479
2024-01-17,251,2022-07-10,expirado,29,469
2023-05-31,963,2022-01-02,expirado,30,121
2022-02-01,985,2023-06-03,pagado,31,403
2023-05-19,576,2023-11-13,pendiente,32,553
2022-02-26,329,2022-01-21,pendiente,33,649
2024-01-13,962,2022-06-20,expirado,34,273
2022-10-12,797,2022-02-11,pagado,35,143
2023-09-17,643,2023-11-11,pendiente,36,44
2024-04-25,75,2023-04-22,expirado,37,482
2023-02-06,852,2024-05-24,pagado,38,628
2023-05-29,125,2022-01-26,pagado,39,817
2022-01-14,624,2023-11-29,pendiente,40,159
2022-01-03,782,2022-01-22,expirado,41,138
2023-04-27,217,2022-09-29,pendiente,42,346
2022-06-12,18,2023-06-01,expirado,43,684
2023-11-09,486,2022-02-23,pendiente,44,893
2023-02-25,446,2022-03-28,expirado,45,956
2022-08-07,832,2023-01-07,pagado,46,546
2022-09-07,366,2024-02-21,pagado,47,844
2024-03-31,710,2023-08-31,pagado,48,907
2022-01-12,701,2023-05-26,expirado,49,440
2023-01-09,133,2022-04-10,pagado,50,716
2023-12-26,847,2022-05-17,pendiente,51,236
2023-03-31,970,2023-03-11,expirado,52,399
2022-07-08,946,2022-06-17,pagado,53,230
2022-04-11,709,2022-06-02,expirado,54,154
2024-07-12,139,2022-12-10,pendiente,55,334
2023-03-26,734,2024-01-30,expirado,56,301
2023-08-19,386,2022-08-08,pendiente,57,172
2023-01-05,308,2023-07-18,pagado,58,517
2023-10-15,891,2022-12-05,expirado,59,163
2024-01-03,854,2022-08-02,expirado,60,417
2024-07-10,411,2023-08-04,expirado,61,866
2022-06-12,113,2023-08-05,pagado,62,924
2023-02-10,789,2024-03-30,pendiente,63,723
2022-12-15,419,2024-04-11,expirado,64,694
2023-04-04,212,2022-03-15,expirado,65,487
2024-06-29,325,2024-06-19,expirado,66,588
2022-08-24,994,2023-06-16,pagado,67,116
2024-07-17,469,2023-12-08,expirado,68,299
2023-12-07,846,2023-11-21,pagado,69,94
2022-12-08,70,2023-09-21,pendiente,70,479
2023-10-28,255,2024-03-01,pagado,71,774
2022-12-13,923,2024-07-31,expirado,72,785
2022-09-14,282,2024-04-24,pagado,73,482
2023-07-26,617,2022-03-27,pagado,74,62
2022-08-15,891,2022-08-14,pagado,75,614
2024-05-19,994,2022-06-14,pagado,76,105
2023-01-07,763,2024-02-10,pagado,77,573
2023-12-12,313,2023-09-11,pendiente,78,260
2023-02-06,621,2023-04-16,pagado,79,250
2022-06-16,152,2023-11-20,expirado,80,19
2024-03-17,191,2024-07-15,pendiente,81,235
2024-01-22,694,2024-03-29,pagado,82,227
2024-04-08,587,2023-10-01,expirado,83,827
2024-03-03,294,2022-11-01,expirado,84,764
2024-07-06,529,2023-07-27,expirado,85,230
2024-06-17,890,2022-03-26,pagado,86,243
2024-06-21,461,2024-06-25,pendiente,87,10
2023-02-23,317,2022-08-16,pagado,88,700
2023-10-11,427,2022-11-08,pagado,89,26
2023-09-17,142,2023-04-05,pagado,90,538
2024-03-13,277,2022-01-29,pagado,91,896
2023-06-19,596,2023-09-30,pagado,92,261
2024-07-27,684,2022-10-06,expirado,93,109
2022-10-31,522,2023-07-06,expirado,94,933
2022-02-17,377,2022-06-27,pagado,95,758
2024-07-08,251,2023-02-18,pendiente,96,146
2024-06-27,485,2022-07-08,pendiente,97,887
2023-06-28,320,2023-03-30,pendiente,98,904
2023-07-31,56,2022-09-22,pagado,99,74
2022-12-12,156,2024-02-17,expirado,100,120
