name,price,category_id
Laptop Dell,63,7
Lavadora Bosch,39,1
Cafetera Nespresso,49,8
Microondas Samsung,61,4
Lavadora Bosch,61,1
Tensiometro,3,10
Freidora de aire Philips,54,8
Altavoz inteligente Alexa,89,3
Microondas Samsung,8,6
Cámara Canon,14,2
Patines en línea Rollerblade,76,4
Smartwatch Apple,82,4
Aire acondicionado Mitsubishi,12,4
Patines en línea Rollerblade,47,3
Despertador digital Philips,21,9
Frigorífico Whirlpool,4,10
Tablet Samsung Galaxy,76,3
Altavoz inteligente Alexa,32,8
Aire acondicionado Mitsubishi,89,10
"Monitor ASUS 27""",22,10
Impresora HP,49,7
Zapatos deportivos Nike,57,3
Libro de cocina italiana,19,10
Despertador digital Philips,15,3
Teclado mecánico Logitech,70,7
Iphone 7,74,2
Consola Xbox Series X,43,9
Horno,25,6
Audífonos Bose,94,2
Lavadora Bosch,97,9
Freidora de aire Philips,17,2
Altavoz inteligente Alexa,62,8
Impresora HP,55,7
Despertador digital Philips,68,8
Freidora de aire Philips,68,9
"Monitor ASUS 27""",20,10
Router Wi-Fi TP-Link,56,1
Libro de cocina italiana,3,8
Guitarra Fender Stratocaster,29,9
Tensiometro,49,1
Licuadora Oster,40,7
Horno,16,5
Microondas Samsung,70,8
Laptop Dell,30,3
Libro de cocina italiana,63,9
TV LG,86,10
Cámara Canon,4,7
Cámara de seguridad Ring,12,1
Lavadora Bosch,49,5
Reloj Casio G-Shock,48,7
Pantalon Jean,17,3
Consola Xbox Series X,35,9
Freidora de aire Philips,54,4
Taladro Bosch,81,3
Reloj Casio G-Shock,85,6
Pantalon Jean,4,5
Proyector Epson,71,9
Taladro Bosch,35,7
Guitarra Fender Stratocaster,77,10
Libro de cocina italiana,77,1
Freidora de aire Philips,26,6
Guitarra Fender Stratocaster,53,7
Taladro Bosch,33,2
Batidora KitchenAid,72,3
Licuadora Oster,60,1
Router Wi-Fi TP-Link,4,4
"Monitor ASUS 27""",38,3
Horno,81,4
Consola Xbox Series X,16,9
Microondas Samsung,95,10
Guitarra Fender Stratocaster,42,8
Guitarra Fender Stratocaster,41,9
Tensiometro,96,8
Impresora HP,30,6
Taladro Bosch,25,9
Router Wi-Fi TP-Link,51,7
Frigorífico Whirlpool,97,8
Cámara Canon,82,9
Microondas Samsung,42,4
Cortadora de césped Honda,2,5
Bicicleta de montaña,55,4
Altavoz inteligente Alexa,65,6
Las aventuras de peter pan,72,6
Zapatos deportivos Nike,62,4
Impresora HP,43,8
Aire acondicionado Mitsubishi,13,8
Despertador digital Philips,64,1
Taladro Bosch,26,7
Cámara de seguridad Ring,93,8
Cámara de seguridad Ring,35,10
Cafetera Nespresso,51,4
Router Wi-Fi TP-Link,67,8
Zapatos deportivos Nike,81,4
Altavoz inteligente Alexa,8,9
Impresora HP,95,10
Freidora de aire Philips,83,9
Audífonos Bose,95,7
Smartwatch Apple,10,8
Guitarra Fender Stratocaster,92,9
Iphone 7,5,4
"Monitor ASUS 27""",83,2
Zapatos deportivos Nike,55,5
Zapatos deportivos Nike,76,2
Guitarra Fender Stratocaster,89,2
Taladro Bosch,96,6
Batidora KitchenAid,35,6
Zapatos deportivos Nike,49,4
Silla ergonómica,34,3
Aire acondicionado Mitsubishi,93,2
Lavadora Bosch,86,10
Proyector Epson,25,6
Impresora HP,7,2
Barra de sonido Sony,39,7
Tablet Samsung Galaxy,92,4
Zapatos deportivos Nike,2,6
Pantalon Jean,81,10
Barra de sonido Sony,98,8
Microondas Samsung,99,8
Smartwatch Apple,45,1
Router Wi-Fi TP-Link,1,7
Libro de cocina italiana,35,10
Audífonos Bose,85,4
Tensiometro,74,2
Tensiometro,80,7
Tensiometro,42,10
Cámara de seguridad Ring,79,2
Microondas Samsung,28,8
Taladro Bosch,62,9
Frigorífico Whirlpool,99,4
Smartwatch Apple,9,4
Bicicleta de montaña,86,7
Silla ergonómica,12,9
Guitarra Fender Stratocaster,65,7
Silla ergonómica,22,9
Tablet Samsung Galaxy,24,9
Freidora de aire Philips,53,5
Frigorífico Whirlpool,1,8
Cámara Canon,95,2
Teclado mecánico Logitech,54,7
Proyector Epson,71,10
