order_date,status,total_amount,customer_id,user_id
2022-03-26,pendiente,430,1,1
2024-04-18,completado,372,2,2
2023-02-04,cancelado,497,3,3
2022-08-04,cancelado,856,4,4
2024-02-19,completado,600,5,5
2022-07-10,completado,301,6,6
2022-07-07,cancelado,499,7,7
2022-11-18,pendiente,554,8,8
2024-03-31,pendiente,92,9,9
2022-05-01,pendiente,981,10,10
2024-01-29,pendiente,929,11,11
2023-08-19,cancelado,690,12,12
2023-01-09,pendiente,616,13,13
2022-12-17,completado,461,14,14
2024-02-12,pendiente,71,15,15
2022-09-17,pendiente,37,16,16
2024-04-15,cancelado,745,17,17
2022-08-09,cancelado,860,18,18
2022-03-15,pendiente,548,19,19
2022-03-14,cancelado,947,20,20
2022-02-17,cancelado,732,21,21
2023-01-21,cancelado,300,22,22
2022-05-29,pendiente,429,23,23
2023-05-19,pendiente,14,24,24
2022-03-13,pendiente,68,25,25
2022-10-20,pendiente,404,26,26
2022-08-31,cancelado,185,27,27
2022-07-05,pendiente,829,28,28
2023-03-21,pendiente,848,29,29
2023-02-08,pendiente,887,30,30
2024-07-10,cancelado,939,31,31
2024-06-29,completado,39,32,32
2024-04-01,cancelado,748,33,33
2023-06-10,cancelado,698,34,34
2024-05-13,cancelado,674,35,35
2023-09-14,pendiente,493,36,36
2023-07-01,cancelado,783,37,37
2023-11-03,pendiente,618,38,38
2023-01-09,completado,972,39,39
2023-01-28,cancelado,890,40,40
2024-06-13,cancelado,829,41,41
2023-04-23,cancelado,258,42,42
2023-03-28,pendiente,591,43,43
2023-09-05,pendiente,717,44,44
2024-03-03,cancelado,426,45,45
2024-02-05,completado,612,46,46
2024-04-10,pendiente,80,47,47
2022-05-13,pendiente,924,48,48
2022-07-23,pendiente,449,49,49
2022-09-08,pendiente,256,50,50
2022-11-04,pendiente,587,51,51
2022-03-18,cancelado,331,52,52
2022-01-15,cancelado,716,53,53
2023-05-28,pendiente,634,54,54
2024-01-21,completado,306,55,55
2023-04-09,pendiente,154,56,56
2023-03-14,cancelado,517,57,57
2022-06-24,pendiente,341,58,58
2022-05-21,cancelado,373,59,59
2023-03-20,pendiente,251,60,60
2023-12-23,cancelado,176,61,61
2022-01-08,pendiente,396,62,62
2024-02-07,completado,600,63,63
2022-04-14,completado,661,64,64
2024-07-29,completado,220,65,65
2023-09-17,pendiente,686,66,66
2022-08-04,completado,399,67,67
2022-03-30,pendiente,988,68,68
2024-07-22,completado,765,69,69
2023-08-16,completado,694,70,70
2023-12-14,completado,754,71,71
2023-06-20,completado,305,72,72
2023-06-11,cancelado,455,73,73
2022-05-21,pendiente,33,74,74
2024-03-18,completado,122,75,75
2022-10-28,pendiente,639,76,76
2023-05-31,cancelado,394,77,77
2024-03-17,pendiente,108,78,78
2023-12-22,cancelado,770,79,79
2023-05-28,completado,662,80,80
2022-11-15,cancelado,246,81,81
2024-01-07,completado,226,82,82
2023-08-08,pendiente,69,83,83
2023-09-14,completado,646,84,84
2024-06-29,completado,205,85,85
2022-08-01,completado,536,86,86
2023-10-10,pendiente,300,87,87
2024-04-02,completado,121,88,88
2023-05-14,completado,604,89,89
2023-09-09,pendiente,765,90,90
2024-07-06,cancelado,136,91,91
2022-04-30,cancelado,662,92,92
2023-09-03,cancelado,115,93,93
2022-10-23,pendiente,753,94,94
2023-11-10,pendiente,179,95,95
2022-05-27,pendiente,256,96,96
2024-03-27,cancelado,111,97,97
2022-08-12,cancelado,691,98,98
2023-06-12,pendiente,505,99,99
2024-08-18,pendiente,735,100,100
